Field	Type	Null	Key	Default	Extra
id	varchar(36)	NO	PRI	NULL	
job_id	varchar(36)	NO	MUL	NULL	
candidate_name	varchar(255)	NO		NULL	
candidate_email	varchar(255)	NO	MUL	NULL	
candidate_phone	varchar(50)	YES		NULL	
candidate_linkedin	varchar(500)	YES		NULL	
cover_letter	text	YES		NULL	
resume_url	text	YES		NULL	
resume_filename	varchar(255)	YES		NULL	
resume_parsed_data	json	YES		NULL	
ai_score	float	YES		NULL	
ai_reasoning	text	YES		NULL	
ai_skills_match	json	YES		NULL	
ai_experience_match	json	YES		NULL	
status	enum('APPLIED','SCREENING','SHORTLISTED','INTERVIEW_SCHEDULED','INTERVIEW_COMPLETED','HIRED','REJECTED')	NO		NULL	
screened_at	datetime	YES		NULL	
created_at	datetime	NO		NULL	
updated_at	datetime	NO		NULL	
